ranking,compass,distance,hypnagogia,complexity,xs_txt,ys_txt,zs_txt,rt_coord,rt_coord_brain,txt_prompt,lakota_prompt
0.8453166,263.3524440936434,2.7064273,-0.14095156828867353,-0.5926575312384966,16.025574,10.402596,-4.3884478,17.164321899414062,17.137086868286133,"In a sprawling meadow, under a triple-moon sky, time flows like golden honey, whispering flowers swaying softly, intricate patterns of traditional designs woven in the air, ethereal light casting delicate shadows.","a lakota traditional symbol, with intricated colorful design, on a black backghround, made of the following elements, {\""home\"": [0.1583702564239502], \""spiritual knowledge\"": [0.16171956062316895], \""love\"": [0.162611722946167]}"
0.85876536,,2.2219813,,,15.429804,9.843175,-1.6593925,11.173657417297363,12.65385913848877,,
0.8572541,,2.8508706,,,14.844974,9.843827,-3.0472348,-2.0574681758880615,-2.350464105606079,,
0.8567119,,2.1281202,,,16.732609,12.923112,-3.1896908,,,,
0.84612197,,3.6846564,,,14.126478,12.625827,-3.5539315,,,,
0.84731823,,1.944047,,,17.386055,11.340021,-3.98165,,,,
0.84565324,,3.3865204,,,15.429105,12.515516,-4.637576,,,,
0.8416338,,3.1737804,,,14.134871,11.072104,-1.1167271,,,,
0.85489327,,1.1939377,,,16.546783,11.423064,-1.0665445,,,,
0.85603225,,3.7221167,,,13.51387,11.307666,-2.7718892,,,,
0.8453166,256.6219006095272,2.7064273,-0.1640577893081815,-0.7344376436192083,16.025574,10.402596,-4.3884478,17.164321899414062,17.137086868286133,"In a sprawling meadow, under a triple-moon sky, time flows like golden honey, whispering flowers swaying softly, intricate patterns of traditional designs woven in the air, ethereal light casting delicate shadows.","a lakota traditional symbol, with intricated colorful design, on a black backghround, made of the following elements, {\""home\"": [0.1583702564239502], \""spiritual knowledge\"": [0.16171956062316895], \""love\"": [0.162611722946167]}"
0.85876536,,2.2219813,,,15.429804,9.843175,-1.6593925,11.173657417297363,12.65385913848877,,
0.8572541,,2.8508706,,,14.844974,9.843827,-3.0472348,-2.0574681758880615,-2.350464105606079,,
0.8567119,,2.1281202,,,16.732609,12.923112,-3.1896908,,,,
0.84612197,,3.6846564,,,14.126478,12.625827,-3.5539315,,,,
0.84731823,,1.944047,,,17.386055,11.340021,-3.98165,,,,
0.84565324,,3.3865204,,,15.429105,12.515516,-4.637576,,,,
0.8416338,,3.1737804,,,14.134871,11.072104,-1.1167271,,,,
0.85489327,,1.1939377,,,16.546783,11.423064,-1.0665445,,,,
0.85603225,,3.7221167,,,13.51387,11.307666,-2.7718892,,,,
0.8453166,257.40805995980594,2.7064273,-0.18819047511006254,-1.0182048975079687,16.025574,10.402596,-4.3884478,17.164321899414062,17.065471649169922,"In a sprawling meadow, under a triple-moon sky, time flows like golden honey, whispering flowers swaying softly, intricate patterns of traditional designs woven in the air, ethereal light casting delicate shadows.","a lakota traditional symbol, with intricated colorful design, on a black backghround, made of the following elements, {\""home\"": [0.1583702564239502], \""spiritual knowledge\"": [0.16171956062316895], \""love\"": [0.162611722946167]}"
0.85876536,,2.2219813,,,15.429804,9.843175,-1.6593925,11.173657417297363,10.94251537322998,,
0.8572541,,2.8508706,,,14.844974,9.843827,-3.0472348,-2.0574681758880615,-1.7545485496520996,,
0.8567119,,2.1281202,,,16.732609,12.923112,-3.1896908,,,,
0.84612197,,3.6846564,,,14.126478,12.625827,-3.5539315,,,,
0.84731823,,1.944047,,,17.386055,11.340021,-3.98165,,,,
0.84565324,,3.3865204,,,15.429105,12.515516,-4.637576,,,,
0.8416338,,3.1737804,,,14.134871,11.072104,-1.1167271,,,,
0.85489327,,1.1939377,,,16.546783,11.423064,-1.0665445,,,,
0.85603225,,3.7221167,,,13.51387,11.307666,-2.7718892,,,,
0.8453166,259.52843603335697,2.7064273,-0.21327606600868407,-0.73238302018931,16.025574,10.402596,-4.3884478,17.164321899414062,17.065471649169922,"In a sprawling meadow, under a triple-moon sky, time flows like golden honey, whispering flowers swaying softly, intricate patterns of traditional designs woven in the air, ethereal light casting delicate shadows.","a lakota traditional symbol, with intricated colorful design, on a black backghround, made of the following elements, {\""home\"": [0.1583702564239502], \""spiritual knowledge\"": [0.16171956062316895], \""love\"": [0.162611722946167]}"
0.85876536,,2.2219813,,,15.429804,9.843175,-1.6593925,11.173657417297363,10.94251537322998,,
0.8572541,,2.8508706,,,14.844974,9.843827,-3.0472348,-2.0574681758880615,-1.7545485496520996,,
0.8567119,,2.1281202,,,16.732609,12.923112,-3.1896908,,,,
0.84612197,,3.6846564,,,14.126478,12.625827,-3.5539315,,,,
0.84731823,,1.944047,,,17.386055,11.340021,-3.98165,,,,
0.84565324,,3.3865204,,,15.429105,12.515516,-4.637576,,,,
0.8416338,,3.1737804,,,14.134871,11.072104,-1.1167271,,,,
0.85489327,,1.1939377,,,16.546783,11.423064,-1.0665445,,,,
0.85603225,,3.7221167,,,13.51387,11.307666,-2.7718892,,,,
0.8453166,253.763998038039,2.7064273,-0.23924919698549882,-0.8739827981274862,16.025574,10.402596,-4.3884478,17.164321899414062,17.065471649169922,"In a sprawling meadow, under a triple-moon sky, time flows like golden honey, whispering flowers swaying softly, intricate patterns of traditional designs woven in the air, ethereal light casting delicate shadows.","a lakota traditional symbol, with intricated colorful design, on a black backghround, made of the following elements, {\""home\"": [0.1583702564239502], \""spiritual knowledge\"": [0.16171956062316895], \""love\"": [0.162611722946167]}"
0.85876536,,2.2219813,,,15.429804,9.843175,-1.6593925,11.173657417297363,10.94251537322998,,
0.8572541,,2.8508706,,,14.844974,9.843827,-3.0472348,-2.0574681758880615,-1.7545485496520996,,
0.8567119,,2.1281202,,,16.732609,12.923112,-3.1896908,,,,
0.84612197,,3.6846564,,,14.126478,12.625827,-3.5539315,,,,
0.84731823,,1.944047,,,17.386055,11.340021,-3.98165,,,,
0.84565324,,3.3865204,,,15.429105,12.515516,-4.637576,,,,
0.8416338,,3.1737804,,,14.134871,11.072104,-1.1167271,,,,
0.85489327,,1.1939377,,,16.546783,11.423064,-1.0665445,,,,
